TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 22:29;;FNIRSI 1013D;
4,00E-5;8,00E-3;-2,00E-3;;TRUE;1;5,00E-2;1,00E-3;-8,00E-2;3,80E-2;-1,83E-3;D:\20.wav;;;;;
6,00E-5;8,00E-3;-2,00E-3;;TRUE;1;5,00E-2;1,00E-3;-1,02E-1;6,00E-2;-3,24E-3;;;;;;
8,00E-5;4,00E-3;-3,20E-2;;;;;;;;;;;;;;
1,00E-4;2,00E-3;-4,60E-2;;;;;;;;;;;;;;
1,20E-4;-6,00E-3;-4,00E-2;;;;;;;;;;;;;;
1,40E-4;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
1,60E-4;-6,00E-3;2,40E-2;;;;;;;;;;;;;;
1,80E-4;-2,00E-3;4,60E-2;;;;;;;;;;;;;;
2,00E-4;4,00E-3;3,40E-2;;;;;;;;;;;;;;
2,20E-4;1,20E-2;1,20E-2;;;;;;;;;;;;;;
2,40E-4;4,00E-3;-2,00E-2;;;;;;;;;;;;;;
2,60E-4;-2,00E-3;-4,60E-2;;;;;;;;;;;;;;
2,80E-4;-6,00E-3;-4,40E-2;;;;;;;;;;;;;;
3,00E-4;-1,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,20E-4;-1,00E-2;1,20E-2;;;;;;;;;;;;;;
3,40E-4;-2,00E-3;3,80E-2;;;;;;;;;;;;;;
3,60E-4;4,00E-3;4,20E-2;;;;;;;;;;;;;;
3,80E-4;2,00E-3;1,60E-2;;;;;;;;;;;;;;
4,00E-4;8,00E-3;-1,00E-2;;;;;;;;;;;;;;
4,20E-4;4,00E-3;-3,60E-2;;;;;;;;;;;;;;
4,40E-4;-2,00E-3;-4,40E-2;;;;;;;;;;;;;;
4,60E-4;-6,00E-3;-2,40E-2;;;;;;;;;;;;;;
4,80E-4;-6,00E-3;4,00E-3;;;;;;;;;;;;;;
5,00E-4;-6,00E-3;3,00E-2;;;;;;;;;;;;;;
5,20E-4;2,00E-3;4,20E-2;;;;;;;;;;;;;;
5,40E-4;4,00E-3;2,60E-2;;;;;;;;;;;;;;
5,60E-4;8,00E-3;2,00E-3;;;;;;;;;;;;;;
5,80E-4;4,00E-3;-2,80E-2;;;;;;;;;;;;;;
6,00E-4;2,00E-3;-4,40E-2;;;;;;;;;;;;;;
6,20E-4;-2,00E-3;-3,20E-2;;;;;;;;;;;;;;
6,40E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,60E-4;-6,00E-3;2,60E-2;;;;;;;;;;;;;;
6,80E-4;2,00E-3;4,20E-2;;;;;;;;;;;;;;
7,00E-4;4,00E-3;3,80E-2;;;;;;;;;;;;;;
7,20E-4;1,20E-2;1,20E-2;;;;;;;;;;;;;;
7,40E-4;1,20E-2;-1,80E-2;;;;;;;;;;;;;;
7,60E-4;-2,00E-3;-4,60E-2;;;;;;;;;;;;;;
7,80E-4;-6,00E-3;-4,40E-2;;;;;;;;;;;;;;
8,00E-4;-1,00E-2;-2,00E-2;;;;;;;;;;;;;;
8,20E-4;-6,00E-3;1,20E-2;;;;;;;;;;;;;;
8,40E-4;-2,00E-3;3,80E-2;;;;;;;;;;;;;;
8,60E-4;4,00E-3;4,20E-2;;;;;;;;;;;;;;
8,80E-4;8,00E-3;2,00E-2;;;;;;;;;;;;;;
9,00E-4;4,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,20E-4;4,00E-3;-3,60E-2;;;;;;;;;;;;;;
9,40E-4;-2,00E-3;-4,60E-2;;;;;;;;;;;;;;
9,60E-4;-1,00E-2;-2,80E-2;;;;;;;;;;;;;;
9,80E-4;-1,00E-2;4,00E-3;;;;;;;;;;;;;;
1,00E-3;-6,00E-3;3,00E-2;;;;;;;;;;;;;;
1,02E-3;-2,00E-3;4,20E-2;;;;;;;;;;;;;;
1,04E-3;4,00E-3;3,00E-2;;;;;;;;;;;;;;
1,06E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,08E-3;4,00E-3;-2,80E-2;;;;;;;;;;;;;;
1,10E-3;2,00E-3;-4,40E-2;;;;;;;;;;;;;;
1,12E-3;-2,00E-3;-3,20E-2;;;;;;;;;;;;;;
1,14E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,16E-3;-6,00E-3;2,40E-2;;;;;;;;;;;;;;
